gene_id	locusName	Best-hit-arabi-name
Solyc01g009890.1.ITAG4.0	Solyc00g266110	AT1G48690
Solyc01g009910.1.ITAG4.0	Solyc00g277510	
Solyc01g009940.1.ITAG4.0	Solyc00g281110	
Solyc01g009975.1.ITAG4.0	Solyc00g284510	
Solyc01g009980.1.ITAG4.0	Solyc00g308530	
Solyc01g010060.2.ITAG4.0	Solyc00g309530	
Solyc01g010063.1.ITAG4.0	Solyc00g316530	
Solyc01g010065.1.ITAG4.0	Solyc00g320430	
Solyc01g010067.1.ITAG4.0	Solyc00g322630	AT1G48690
Solyc01g010140.1.ITAG4.0	Solyc00g500001	ATMG00810
Solyc01g010175.1.ITAG4.0	Solyc00g500002	
Solyc01g010185.1.ITAG4.0	Solyc00g500003	
Solyc01g010210.1.ITAG4.0	Solyc00g500004	
Solyc01g010215.1.ITAG4.0	Solyc00g500005	
Solyc01g010230.2.ITAG4.0	Solyc00g500006	
Solyc01g010365.1.ITAG4.0	Solyc00g500007	
Solyc01g010400.1.ITAG4.0	Solyc00g500008	
Solyc01g010405.1.ITAG4.0	Solyc00g500009	
Solyc01g010415.1.ITAG4.0	Solyc00g500010	
Solyc01g010470.2.ITAG4.0	Solyc00g500011	
Solyc01g010530.1.ITAG4.0	Solyc00g500012	
Solyc01g010550.1.ITAG4.0	Solyc00g500013	
Solyc01g010590.2.ITAG4.0	Solyc00g500014	
Solyc01g010690.1.ITAG4.0	Solyc00g500015	
Solyc01g010705.1.ITAG4.0	Solyc00g500016	
Solyc01g010755.1.ITAG4.0	Solyc00g500017	
Solyc01g010785.1.ITAG4.0	Solyc00g500018	
Solyc01g010840.1.ITAG4.0	Solyc00g500019	ATCG00520
Solyc01g010990.2.ITAG4.0	Solyc00g500020	ATCG00540
Solyc01g011005.1.ITAG4.0	Solyc00g500021	ATCG00580
Solyc01g011060.1.ITAG4.0	Solyc00g500022	ATCG00650
Solyc01g011070.1.ITAG4.0	Solyc00g500023	ATCG00670
Solyc01g011100.2.ITAG4.0	Solyc00g500024	ATCG00680
Solyc01g011105.1.ITAG4.0	Solyc00g500025	
Solyc01g011110.1.ITAG4.0	Solyc00g500026	ATCG00710
Solyc01g011113.1.ITAG4.0	Solyc00g500027	ATCG00720
Solyc01g011115.1.ITAG4.0	Solyc00g500028	
Solyc01g011117.1.ITAG4.0	Solyc00g500029	
Solyc01g011170.1.ITAG4.0	Solyc00g500030	ATCG00750
Solyc01g011180.1.ITAG4.0	Solyc00g500031	ATCG00770
Solyc01g011190.1.ITAG4.0	Solyc00g500032	ATCG00790
Solyc01g011260.1.ITAG4.0	Solyc00g500033	
Solyc01g011273.1.ITAG4.0	Solyc00g500034	ATCG00800
Solyc01g011277.1.ITAG4.0	Solyc00g500035	
Solyc01g011300.1.ITAG4.0	Solyc00g500036	
Solyc01g011352.1.ITAG4.0	Solyc00g500037	ATCG01280
Solyc01g011354.1.ITAG4.0	Solyc00g500038	
Solyc01g011356.1.ITAG4.0	Solyc00g500039	
Solyc01g011358.1.ITAG4.0	Solyc00g500040	
Solyc01g011390.2.ITAG4.0	Solyc00g500041	ATCG01100
Solyc01g011413.1.ITAG4.0	Solyc00g500042	ATCG01130
Solyc01g011417.1.ITAG4.0	Solyc00g500043	ATCG01000
Solyc01g011435.1.ITAG4.0	Solyc00g500044	
Solyc01g011465.1.ITAG4.0	Solyc00g500045	
Solyc01g011470.1.ITAG4.0	Solyc00g500046	ATCG01280
Solyc01g011480.1.ITAG4.0	Solyc00g500047	ATCG01310
Solyc01g011490.1.ITAG4.0	Solyc00g500048	ATCG00040
Solyc01g011495.1.ITAG4.0	Solyc00g500049	ATCG00070
Solyc01g011500.1.ITAG4.0	Solyc00g500050	ATCG00120
Solyc01g011530.1.ITAG4.0	Solyc00g500051	ATCG00160
Solyc01g011540.1.ITAG4.0	Solyc00g500052	
Solyc01g012540.1.ITAG4.0	Solyc00g500053	
Solyc01g012550.1.ITAG4.0	Solyc00g500054	ATCG00280
Solyc01g012560.1.ITAG4.0	Solyc00g500055	ATCG00330
Solyc01g012580.1.ITAG4.0	Solyc00g500056	ATCG00340
Solyc01g012585.1.ITAG4.0	Solyc00g500057	ATCG00350
Solyc01g012590.1.ITAG4.0	Solyc00g500058	ATCG00360
Solyc01g012610.1.ITAG4.0	Solyc00g500059	
Solyc01g012650.1.ITAG4.0	Solyc00g500060	ATCG00380
Solyc01g012680.1.ITAG4.0	Solyc00g500061	ATCG00420
Solyc01g012690.1.ITAG4.0	Solyc00g500062	ATCG00430
Solyc01g012720.1.ITAG4.0	Solyc00g500063	ATCG00490
Solyc01g012730.1.ITAG4.0	Solyc00g500064	ATCG00480
Solyc01g012740.1.ITAG4.0	Solyc00g500065	ATCG00500
Solyc01g012760.1.ITAG4.0	Solyc00g500066	ATCG00520
Solyc01g013760.1.ITAG4.0	Solyc00g500067	ATCG00540
Solyc01g013780.1.ITAG4.0	Solyc00g500068	ATCG00580
Solyc01g013790.1.ITAG4.0	Solyc00g500069	
Solyc01g013810.1.ITAG4.0	Solyc00g500070	ATCG00670
Solyc01g013820.1.ITAG4.0	Solyc00g500071	ATCG00680
Solyc01g013840.1.ITAG4.0	Solyc00g500072	ATCG00710
Solyc01g013850.1.ITAG4.0	Solyc00g500073	
Solyc01g013860.1.ITAG4.0	Solyc00g500074	
Solyc01g013870.1.ITAG4.0	Solyc00g500075	ATCG00750
Solyc01g013880.1.ITAG4.0	Solyc00g500076	ATCG00770
Solyc01g013883.1.ITAG4.0	Solyc00g500077	ATCG00790
Solyc01g013887.1.ITAG4.0	Solyc00g500078	
Solyc01g013910.1.ITAG4.0	Solyc00g500079	
Solyc01g013920.1.ITAG4.0	Solyc00g500080	
Solyc01g013930.1.ITAG4.0	Solyc00g500081	ATCG01280
Solyc01g013970.1.ITAG4.0	Solyc00g500082	
Solyc01g013975.1.ITAG4.0	Solyc00g500083	
Solyc01g013980.1.ITAG4.0	Solyc00g500084	ATCG01000
Solyc01g013985.1.ITAG4.0	Solyc00g500085	ATCG01040
Solyc01g013990.1.ITAG4.0	Solyc00g500086	ATCG01100
Solyc01g014000.1.ITAG4.0	Solyc00g500087	ATCG01110
Solyc01g014010.1.ITAG4.0	Solyc00g500088	
Solyc01g014020.1.ITAG4.0	Solyc00g500089	
Solyc01g014050.1.ITAG4.0	Solyc00g500090	
Solyc01g014055.1.ITAG4.0	Solyc00g500091	AT5G37930
Solyc01g014070.1.ITAG4.0	Solyc00g500092	AT5G18000
Solyc01g014090.1.ITAG4.0	Solyc00g500093	
Solyc01g014105.1.ITAG4.0	Solyc00g500094	
Solyc01g014150.1.ITAG4.0	Solyc00g500095	
Solyc01g014160.1.ITAG4.0	Solyc00g500096	AT5G37930
Solyc01g014170.1.ITAG4.0	Solyc00g500097	
Solyc01g014210.1.ITAG4.0	Solyc00g500098	
Solyc01g014240.1.ITAG4.0	Solyc00g500099	AT2G07695
Solyc01g014250.2.ITAG4.0	Solyc00g500100	ATMG00090
Solyc01g014260.1.ITAG4.0	Solyc00g500101	
Solyc01g014275.1.ITAG4.0	Solyc00g500102	
Solyc01g014300.1.ITAG4.0	Solyc00g500103	ATMG00560
Solyc01g014315.1.ITAG4.0	Solyc00g500104	
Solyc01g014350.1.ITAG4.0	Solyc00g500105	AT2G07674
Solyc01g014355.1.ITAG4.0	Solyc00g500106	
Solyc01g014360.1.ITAG4.0	Solyc00g500107	
Solyc01g014363.1.ITAG4.0	Solyc00g500108	
Solyc01g014367.1.ITAG4.0	Solyc00g500109	
Solyc01g014373.1.ITAG4.0	Solyc00g500110	
Solyc01g014377.1.ITAG4.0	Solyc00g500111	
Solyc01g014410.1.ITAG4.0	Solyc00g500112	
Solyc01g014420.1.ITAG4.0	Solyc00g500113	
Solyc01g014430.1.ITAG4.0	Solyc00g500114	AT2G07674
Solyc01g014450.1.ITAG4.0	Solyc00g500115	AT2G07751
Solyc01g014470.1.ITAG4.0	Solyc00g500116	AT2G07695
Solyc01g014520.1.ITAG4.0	Solyc00g500117	ATMG00090
Solyc01g014530.2.ITAG4.0	Solyc00g500118	
Solyc01g014533.1.ITAG4.0	Solyc00g500119	
Solyc01g014620.1.ITAG4.0	Solyc00g500120	
Solyc01g014640.1.ITAG4.0	Solyc00g500121	
Solyc01g014650.1.ITAG4.0	Solyc00g500122	
Solyc01g014660.1.ITAG4.0	Solyc00g500123	ATCG01100
Solyc01g014680.1.ITAG4.0	Solyc00g500124	ATCG01110
Solyc01g014690.2.ITAG4.0	Solyc00g500125	ATCG01130
Solyc01g014700.2.ITAG4.0	Solyc00g500126	ATCG01000
Solyc01g014710.1.ITAG4.0	Solyc00g500127	
Solyc01g014740.1.ITAG4.0	Solyc00g500128	ATCG01280
Solyc01g014745.1.ITAG4.0	Solyc00g500129	
Solyc01g014760.1.ITAG4.0	Solyc00g500130	ATCG00020
Solyc01g014800.1.ITAG4.0	Solyc00g500131	ATCG00040
Solyc01g014830.1.ITAG4.0	Solyc00g500132	ATCG00070
Solyc01g014960.1.ITAG4.0	Solyc00g500133	ATCG00120
Solyc01g014963.1.ITAG4.0	Solyc00g500134	ATCG00160
Solyc01g014967.1.ITAG4.0	Solyc00g500135	
Solyc01g014970.1.ITAG4.0	Solyc00g500136	ATCG00280
Solyc01g015010.1.ITAG4.0	Solyc00g500137	ATCG00330
Solyc01g015030.1.ITAG4.0	Solyc00g500138	ATCG00340
Solyc01g015035.1.ITAG4.0	Solyc00g500139	ATCG00350
Solyc01g015050.1.ITAG4.0	Solyc00g500140	ATCG00470
Solyc01g015060.1.ITAG4.0	Solyc00g500141	
Solyc01g015130.1.ITAG4.0	Solyc00g500142	
Solyc01g015133.1.ITAG4.0	Solyc00g500143	ATCG00380
Solyc01g015137.1.ITAG4.0	Solyc00g500144	
Solyc01g015180.1.ITAG4.0	Solyc00g500145	
Solyc01g015185.1.ITAG4.0	Solyc00g500146	
Solyc01g015200.1.ITAG4.0	Solyc00g500147	
Solyc01g015210.1.ITAG4.0	Solyc00g500148	
Solyc01g015250.1.ITAG4.0	Solyc00g500149	
Solyc01g015280.1.ITAG4.0	Solyc00g500150	
Solyc01g015290.1.ITAG4.0	Solyc00g500151	
Solyc01g015293.1.ITAG4.0	Solyc00g500152	
Solyc01g015297.1.ITAG4.0	Solyc00g500153	
Solyc01g016300.1.ITAG4.0	Solyc00g500154	
Solyc01g016305.1.ITAG4.0	Solyc00g500155	ATCG00780
Solyc01g016350.1.ITAG4.0	Solyc00g500156	ATCG00750
Solyc01g016355.1.ITAG4.0	Solyc00g500157	ATCG00740
Solyc01g016400.1.ITAG4.0	Solyc00g500158	ATCG00730
Solyc01g016412.1.ITAG4.0	Solyc00g500159	
Solyc01g016414.1.ITAG4.0	Solyc00g500160	
Solyc01g016416.1.ITAG4.0	Solyc00g500161	
Solyc01g016418.1.ITAG4.0	Solyc00g500162	
Solyc01g016430.1.ITAG4.0	Solyc00g500163	
Solyc01g016450.1.ITAG4.0	Solyc00g500164	
Solyc01g016510.1.ITAG4.0	Solyc00g500165	
Solyc01g016520.1.ITAG4.0	Solyc00g500166	
Solyc01g016530.1.ITAG4.0	Solyc00g500167	
Solyc01g016545.1.ITAG4.0	Solyc00g500168	ATMG00570
Solyc01g016560.1.ITAG4.0	Solyc00g500169	ATMG00665
Solyc01g016565.1.ITAG4.0	Solyc00g500170	AT2G07695
Solyc01g016580.1.ITAG4.0	Solyc00g500171	
Solyc01g016590.1.ITAG4.0	Solyc00g500172	
Solyc01g016605.1.ITAG4.0	Solyc00g500173	ATMG00640
Solyc01g016630.1.ITAG4.0	Solyc00g500174	
Solyc01g016660.1.ITAG4.0	Solyc00g500175	
Solyc01g016665.1.ITAG4.0	Solyc00g500176	
Solyc01g016685.1.ITAG4.0	Solyc00g500177	
Solyc01g016690.1.ITAG4.0	Solyc00g500178	
Solyc01g016720.2.ITAG4.0	Solyc00g500179	
Solyc01g016725.1.ITAG4.0	Solyc00g500180	
Solyc01g016760.1.ITAG4.0	Solyc00g500181	ATMG01110
Solyc01g016770.1.ITAG4.0	Solyc00g500182	AT2G07674
Solyc01g016780.1.ITAG4.0	Solyc00g500183	
Solyc01g016790.1.ITAG4.0	Solyc00g500184	ATMG00510
Solyc01g016830.1.ITAG4.0	Solyc00g500185	
Solyc01g016840.1.ITAG4.0	Solyc00g500186	ATMG01360
Solyc01g016870.1.ITAG4.0	Solyc00g500187	
Solyc01g016880.1.ITAG4.0	Solyc00g500188	
Solyc01g016890.1.ITAG4.0	Solyc00g500189	
Solyc01g016900.1.ITAG4.0	Solyc00g500190	
Solyc01g016910.1.ITAG4.0	Solyc00g500191	
Solyc01g016920.1.ITAG4.0	Solyc00g500192	ATCG01110
Solyc01g016930.1.ITAG4.0	Solyc00g500193	ATCG01100
Solyc01g016960.1.ITAG4.0	Solyc00g500194	
Solyc01g016980.1.ITAG4.0	Solyc00g500195	ATCG01010
Solyc01g017020.1.ITAG4.0	Solyc00g500196	ATCG01000
Solyc01g017030.1.ITAG4.0	Solyc00g500197	
Solyc01g017040.1.ITAG4.0	Solyc00g500198	ATCG01280
Solyc01g017050.1.ITAG4.0	Solyc00g500199	
Solyc01g017070.1.ITAG4.0	Solyc00g500200	ATCG00020
Solyc01g017085.1.ITAG4.0	Solyc00g500201	ATCG00040
Solyc01g017090.2.ITAG4.0	Solyc00g500202	ATCG00070
Solyc01g017120.1.ITAG4.0	Solyc00g500203	ATCG00120
Solyc01g017130.1.ITAG4.0	Solyc00g500204	ATCG00160
Solyc01g017140.1.ITAG4.0	Solyc00g500205	
Solyc01g017145.1.ITAG4.0	Solyc00g500206	ATCG00280
Solyc01g017150.1.ITAG4.0	Solyc00g500207	ATCG00330
Solyc01g017170.1.ITAG4.0	Solyc00g500208	ATCG00340
Solyc01g017210.1.ITAG4.0	Solyc00g500209	ATCG00350
Solyc01g017240.1.ITAG4.0	Solyc00g500210	ATCG00360
Solyc01g017250.1.ITAG4.0	Solyc00g500211	
Solyc01g017260.1.ITAG4.0	Solyc00g500212	ATCG00380
Solyc01g017280.1.ITAG4.0	Solyc00g500213	AT1G48690
Solyc01g017290.1.ITAG4.0	Solyc00g500214	
Solyc01g017320.1.ITAG4.0	Solyc00g500215	
Solyc01g017380.1.ITAG4.0	Solyc00g500216	
Solyc01g017390.1.ITAG4.0	Solyc00g500217	
Solyc01g017420.1.ITAG4.0	Solyc00g500218	AT2G46370
Solyc01g017430.1.ITAG4.0	Solyc00g500219	AT5G18000
Solyc01g017440.1.ITAG4.0	Solyc00g500220	
Solyc01g017450.1.ITAG4.0	Solyc00g500221	
Solyc01g017480.1.ITAG4.0	Solyc00g500222	AT5G18000
Solyc01g017510.1.ITAG4.0	Solyc00g500223	
Solyc01g017520.1.ITAG4.0	Solyc00g500224	ATMG00180
Solyc01g017530.1.ITAG4.0	Solyc00g500225	
Solyc01g017535.1.ITAG4.0	Solyc00g500226	AT2G07674
Solyc01g017565.1.ITAG4.0	Solyc00g500227	ATMG01110
Solyc01g017610.1.ITAG4.0	Solyc00g500228	ATMG00560
Solyc01g017620.1.ITAG4.0	Solyc00g500229	
Solyc01g017675.1.ITAG4.0	Solyc00g500230	
Solyc01g017690.1.ITAG4.0	Solyc00g500231	
Solyc01g017700.1.ITAG4.0	Solyc00g500232	
Solyc01g017725.1.ITAG4.0	Solyc00g500233	
Solyc01g017750.1.ITAG4.0	Solyc00g500234	
Solyc01g017795.1.ITAG4.0	Solyc00g500235	
Solyc01g017825.1.ITAG4.0	Solyc00g500236	
Solyc01g017873.1.ITAG4.0	Solyc00g500237	
Solyc01g017877.1.ITAG4.0	Solyc00g500238	
Solyc01g017960.1.ITAG4.0	Solyc00g500239	
Solyc01g017970.1.ITAG4.0	Solyc00g500240	AT2G07727
Solyc01g018015.1.ITAG4.0	Solyc00g500241	ATMG00180
Solyc01g018040.1.ITAG4.0	Solyc00g500242	AT2G07771
Solyc01g018045.1.ITAG4.0	Solyc00g500243	
Solyc01g018100.1.ITAG4.0	Solyc00g500244	
Solyc01g019100.1.ITAG4.0	Solyc00g500245	ATMG00090
Solyc01g020113.1.ITAG4.0	Solyc00g500246	
Solyc01g020117.1.ITAG4.0	Solyc00g500247	
Solyc01g020160.1.ITAG4.0	Solyc00g500248	
Solyc01g020180.1.ITAG4.0	Solyc00g500249	ATMG00830
Solyc01g020190.2.ITAG4.0	Solyc00g500250	ATMG01360
Solyc01g020245.1.ITAG4.0	Solyc00g500251	
Solyc01g020290.1.ITAG4.0	Solyc00g500252	
Solyc01g020323.1.ITAG4.0	Solyc00g500253	
Solyc01g020327.1.ITAG4.0	Solyc00g500254	
Solyc01g020343.1.ITAG4.0	Solyc00g500255	
Solyc01g020347.1.ITAG4.0	Solyc00g500256	
Solyc01g020350.1.ITAG4.0	Solyc00g500257	AT2G07674
Solyc01g020353.1.ITAG4.0	Solyc00g500258	
Solyc01g020357.1.ITAG4.0	Solyc00g500259	
Solyc01g020360.1.ITAG4.0	Solyc00g500260	
Solyc01g020372.1.ITAG4.0	Solyc00g500261	AT2G07751
Solyc01g020450.1.ITAG4.0	Solyc00g500262	AT2G07674
Solyc01g020480.1.ITAG4.0	Solyc00g500263	ATMG01110
Solyc01g020490.1.ITAG4.0	Solyc00g500264	
Solyc01g020495.1.ITAG4.0	Solyc00g500265	
Solyc01g020510.1.ITAG4.0	Solyc00g500266	
Solyc01g020521.1.ITAG4.0	Solyc00g500267	
Solyc01g020522.1.ITAG4.0	Solyc00g500268	
Solyc01g020524.1.ITAG4.0	Solyc00g500269	
Solyc01g020526.1.ITAG4.0	Solyc00g500270	
Solyc01g020528.1.ITAG4.0	Solyc00g500271	
Solyc01g020575.1.ITAG4.0	Solyc00g500272	AT2G07695
Solyc01g021610.1.ITAG4.0	Solyc00g500273	ATCG00820
Solyc01g021680.1.ITAG4.0	Solyc00g500274	ATMG00090
Solyc01g021685.1.ITAG4.0	Solyc00g500275	
Solyc01g021690.1.ITAG4.0	Solyc00g500276	
Solyc01g021695.1.ITAG4.0	Solyc00g500277	AT2G07771
Solyc01g021720.1.ITAG4.0	Solyc00g500278	ATCG01000
Solyc01g021730.2.ITAG4.0	Solyc00g500279	
Solyc01g021740.1.ITAG4.0	Solyc00g500280	
Solyc01g021745.1.ITAG4.0	Solyc00g500281	
Solyc01g022745.1.ITAG4.0	Solyc00g500282	
Solyc01g022760.1.ITAG4.0	Solyc00g500283	
Solyc01g022780.1.ITAG4.0	Solyc00g500284	
Solyc01g022785.1.ITAG4.0	Solyc00g500285	AT1G48690
Solyc01g028803.1.ITAG4.0	Solyc00g500286	
Solyc01g028807.1.ITAG4.0	Solyc00g500287	AT1G48690
Solyc01g028865.1.ITAG4.0	Solyc00g500288	
Solyc01g028875.1.ITAG4.0	Solyc00g500289	
Solyc01g028960.1.ITAG4.0	Solyc00g500290	ATCG00170
Solyc01g028965.1.ITAG4.0	Solyc00g500291	ATCG00160
Solyc01g028980.1.ITAG4.0	Solyc00g500292	ATCG00120
Solyc01g028985.1.ITAG4.0	Solyc00g500293	ATCG00070
Solyc01g033990.1.ITAG4.0	Solyc00g500294	
Solyc01g033995.1.ITAG4.0	Solyc00g500295	ATCG00040
Solyc01g034040.1.ITAG4.0	Solyc00g500296	ATCG00020
Solyc01g034050.1.ITAG4.0	Solyc00g500297	
Solyc01g034075.1.ITAG4.0	Solyc00g500298	
Solyc01g034080.1.ITAG4.0	Solyc00g500299	
Solyc01g034140.1.ITAG4.0	Solyc00g500300	
Solyc01g034145.1.ITAG4.0	Solyc00g500301	
Solyc01g034190.1.ITAG4.0	Solyc00g500302	ATMG00640
Solyc01g034210.1.ITAG4.0	Solyc00g500303	AT2G07687
Solyc01g034213.1.ITAG4.0	Solyc00g500304	
Solyc01g034217.1.ITAG4.0	Solyc00g500305	
Solyc01g038230.1.ITAG4.0	Solyc00g500306	
Solyc01g038231.1.ITAG4.0	Solyc00g500307	
Solyc01g038232.1.ITAG4.0	Solyc00g500308	
Solyc01g038233.1.ITAG4.0	Solyc00g500309	ATMG00090
Solyc01g038234.1.ITAG4.0	Solyc00g500310	
Solyc01g038236.1.ITAG4.0	Solyc00g500311	
Solyc01g038238.1.ITAG4.0	Solyc00g500312	
Solyc01g044275.1.ITAG4.0	Solyc00g500313	
Solyc01g044365.1.ITAG4.0	Solyc00g500314	
Solyc01g044375.1.ITAG4.0	Solyc00g500315	
Solyc01g044500.1.ITAG4.0	Solyc00g500316	
Solyc01g044523.1.ITAG4.0	Solyc00g500317	
Solyc01g044527.1.ITAG4.0	Solyc00g500318	AT2G07695
Solyc01g044551.1.ITAG4.0	Solyc00g500319	
Solyc01g044552.1.ITAG4.0	Solyc00g500320	ATCG00160
Solyc01g044554.1.ITAG4.0	Solyc00g500321	
Solyc01g044556.1.ITAG4.0	Solyc00g500322	ATCG00130
Solyc01g044558.1.ITAG4.0	Solyc00g500323	ATCG00120
Solyc01g047580.1.ITAG4.0	Solyc00g500324	
Solyc01g049720.1.ITAG4.0	Solyc00g500325	
Solyc01g049740.1.ITAG4.0	Solyc00g500326	
Solyc01g049750.1.ITAG4.0	Solyc00g500327	ATCG01280
Solyc01g049760.1.ITAG4.0	Solyc00g500328	
Solyc01g049790.1.ITAG4.0	Solyc00g500329	ATCG00020
Solyc01g049820.2.ITAG4.0	Solyc00g500330	ATCG00040
Solyc01g049830.2.ITAG4.0	Solyc00g500331	ATCG00070
Solyc01g049840.1.ITAG4.0	Solyc00g500332	ATCG00120
Solyc01g049950.1.ITAG4.0	Solyc00g500333	
Solyc01g050045.1.ITAG4.0	Solyc00g500334	
Solyc01g050050.1.ITAG4.0	Solyc00g500335	ATCG00150
Solyc01g055160.1.ITAG4.0	Solyc00g500336	ATMG00240
Solyc01g055165.1.ITAG4.0	Solyc00g500337	ATMG00240
Solyc01g055200.1.ITAG4.0	Solyc00g500338	
Solyc01g056200.1.ITAG4.0	Solyc00g500339	
Solyc01g056220.2.ITAG4.0	Solyc00g500340	
Solyc01g056240.1.ITAG4.0	Solyc00g500341	
Solyc01g056250.2.ITAG4.0	Solyc00g500342	
Solyc01g056260.1.ITAG4.0	Solyc00g500343	
