gene_id	1P	2P	3P	4P	5P	6P	7P	8P	9P	10P	11P	12P	13P	14P	15P
Solyc01g005710.2.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g005750.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g005780.1.ITAG4.0	0	0	0	0.0165348	0	0	0.0220901	0	0	0	0.0821232	0	0	0	0.0380982
Solyc01g005783.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g005787.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g005790.1.ITAG4.0	3.09686	3.00247	3.30395	2.64541	1.60651	2.22202	1.78034	2.37504	1.8857	2.35335	2.927	3.1379	2.5499	1.96922	2.0246
Solyc01g005860.2.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g005880.1.ITAG4.0	4.04125	1.1007	3.12919	3.95389	1.24831	10.4492	8.47041	1.53354	1.99728	2.93859	6.77336	1.01144	2.1909	4.93151	1.88976
Solyc01g005890.1.ITAG4.0	0	0	0.159179	0.186806	0.0899673	1.17234	0.512008	0.408164	0.461732	0.980264	0.393654	0	0.149993	0.566247	0
Solyc01g005900.2.ITAG4.0	0.3201	1.61521	1.45364	22.22	16.1545	4.08629	6.30559	54.1754	20.8134	19.3306	4.81627	14.444	11.2387	12.7391	11.0908
Solyc01g005985.1.ITAG4.0	4.49233	5.04873	4.48079	5.09344	3.20939	5.69411	1.89652	2.25204	5.57881	5.89432	1.98401	4.57619	7.88592	4.52753	7.72323
Solyc01g006050.2.ITAG4.0	2.47362	3.2139	3.51662	5.53866	4.01512	4.87029	3.02907	2.26369	1.64151	3.35273	4.80562	3.33835	5.80249	6.30303	2.99138
Solyc01g006055.1.ITAG4.0	14.2655	14.7028	13.7978	4.99891	5.04568	10.9369	17.0795	8.70193	11.4665	7.13473	5.64788	11.0156	3.51168	8.63396	6.75199
Solyc01g006160.3.ITAG4.0	260.396	265.271	246.467	296.757	352.807	281.568	332.685	325.731	319.62	392.519	354.888	364.752	310.988	356.143	327.177
Solyc01g006230.3.ITAG4.0	20.4197	21.439	24.8711	21.2699	16.2158	21.6218	17.9709	17.6242	16.647	22.0141	20.4605	15.7638	21.0329	19.6425	19.2434
Solyc01g006270.2.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0.197085	0	0.597301
Solyc01g006380.2.ITAG4.0	12.2363	16.8209	16.9132	14.7732	15.5509	15.1849	13.6854	13.233	11.9133	10.832	12.4444	12.8352	8.01657	10.5914	12.1924
Solyc01g006390.2.ITAG4.0	0.128028	0.333306	1.16439	0.180382	0.272991	0	0	0	0	0.263514	0.115296	0	0.109356	0	0
Solyc01g006530.1.ITAG4.0	0.434852	0.251591	0.374705	0.564915	0.903801	1.02694	0.775316	0.375245	0.0454518	0.303967	0.837551	0.347245	1.47572	0.760669	1.01188
Solyc01g006555.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0579251	0
Solyc01g006585.1.ITAG4.0	0.840854	1.01239	0.958875	1.09248	0.256909	0.55695	0.358043	0	0.73251	0.434857	0.386537	0.924073	0.246127	0.748733	0.240352
Solyc01g006640.1.ITAG4.0	0	0.0188192	0.0191016	0	0	0.00655928	0	0	0.0293043	0.0139676	0.00628642	0	0.054342	0	0.00582024
Solyc01g006670.2.ITAG4.0	6.95937	8.04395	6.28336	10.3831	7.26595	6.49352	5.01555	5.4216	5.89935	5.10226	6.75534	6.13923	6.7328	4.6534	6.75788
Solyc01g006750.2.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g006820.2.ITAG4.0	1.28894	1.28895	1.50556	0.457557	0.569616	0.327696	0.628144	0.945226	0.291281	0.187521	0.827484	0.831661	0.945449	2.5551	0.775033
Solyc01g006845.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g006850.1.ITAG4.0	0.898003	0.690124	0.772281	0.962405	0.654916	0.877855	1.17763	0.771664	1.03489	1.06496	1.52527	1.20486	1.0113	1.24664	1.28525
Solyc01g007010.2.ITAG4.0	12.5774	18.1377	29.8834	6.80547	7.36533	12.7928	9.08018	8.55889	9.52934	7.16958	6.8203	9.72847	7.11038	8.69217	11.6618
Solyc01g007090.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g007200.2.ITAG4.0	0.290553	0.051267	0.0527521	0.166335	0.0580529	0.263527	0	0	0.0610191	0	0.312877	0	0.0498235	0	0
Solyc01g007263.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g007267.1.ITAG4.0	1.79697	1.01028	2.03762	2.97199	2.25746	2.07461	2.06446	2.71729	1.52006	2.03457	2.10741	2.00544	2.45136	2.3041	2.5717
Solyc01g007770.2.ITAG4.0	27.5308	32.7007	34.6442	24.7801	29.1922	25.7204	16.6206	24.8385	22.9971	31.8318	31.7866	29.7361	30.1585	25.4546	35.8098
Solyc01g007810.1.ITAG4.0	0.437763	0.256546	0.066255	0.5203	0.0738962	0	0	0	0.383784	0	0	0.0731197	0.0625035	0.334635	0.183612
Solyc01g007850.2.ITAG4.0	2.41529	2.38545	2.6789	2.84216	2.41787	2.28937	2.62431	2.14501	2.45461	2.37572	2.7332	2.31215	2.70684	2.702	2.65563
Solyc01g007920.2.ITAG4.0	15.5248	17.8032	16.7001	22.4316	18.9367	24.443	15.417	15.4533	13.5122	17.931	16.6063	13.7677	21.9355	18.6565	20.1183
Solyc01g008040.1.ITAG4.0	0	0.0472982	0.145828	0	0	0	0.466868	0	0.0562004	0	0.912869	0.107176	0	0.340952	0
Solyc01g008150.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g008425.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g008450.1.ITAG4.0	0.646792	0.638418	0.146863	0.3453	0	0.434364	0.62927	0.225389	0.340565	0	0.0726276	1.13506	0.138462	0.520953	0.475438
Solyc01g008473.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g008475.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g008477.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g008479.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g008530.3.ITAG4.0	4.95019	7.53819	5.21168	6.98259	4.26169	7.28135	5.91483	6.11274	6.25315	6.48133	5.89462	4.45638	3.82742	4.71046	5.0708
Solyc01g008550.4.ITAG4.0	81.189	81.039	82.2253	102.73	101.262	93.9134	87.2792	94.0341	85.1937	103.252	103.105	85.1174	81.7581	92.3093	88.5978
Solyc01g008570.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g008580.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g008590.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g008720.2.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g008860.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g008870.1.ITAG4.0	0	0.0943846	0	0.114831	0	0	0	0.14738	0	0.161482	0	0	0.0458233	0	0.0446616
Solyc01g008910.2.ITAG4.0	3.56914	2.99239	3.39453	4.79076	3.69604	5.78752	4.249	4.32556	4.03499	5.93256	5.05559	6.58296	4.94385	5.95675	5.17349
Solyc01g008930.4.ITAG4.0	2.30089	2.54616	2.2639	2.00639	2.90975	1.90899	1.67377	2.33497	2.27252	2.33689	2.33335	2.62234	1.94314	2.48243	1.82144
Solyc01g008940.2.ITAG4.0	1.0505	1.19345	1.63133	0.245339	0.427151	0	0.355123	0.352318	1.53325	1.16943	3.58676	3.59142	3.59149	4.17096	3.97126
Solyc01g009140.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g009145.1.ITAG4.0	6.0687	5.4977	6.03223	5.60033	4.20643	6.48501	7.71951	9.58725	4.58387	1.70584	6.74888	7.01614	5.19193	5.66781	7.96069
Solyc01g009160.2.ITAG4.0	59.3399	82.3872	81.7431	30.6128	37.9779	43.4058	42.3915	36.9048	35.4778	27.7698	24.7365	25.3859	37.4958	43.0316	46.8752
Solyc01g009165.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g009245.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g009260.1.ITAG4.0	0	0	0	0.0581287	0.159051	0.0741152	0.625576	0.370044	0.339021	0.203005	0.616535	0.404333	0.243	0.0731583	0.505942
Solyc01g009270.1.ITAG4.0	0	0	0	0	0	0	0.155587	0	0	0	0.072161	0.0402254	0.10361	0	0
Solyc01g009305.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g009330.1.ITAG4.0	0	0.0404849	0.498249	0.131337	0	0.250734	0.0885243	0	0.191863	0.137976	0.0820635	0.228767	0.0785078	0	0.0381886
Solyc01g009350.2.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g009360.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g009443.1.ITAG4.0	44.0102	39.6436	44.4077	50.4817	42.7143	42.5578	42.4808	41.716	43.2679	46.7349	46.3614	47.5371	39.7134	38.1561	42.8812
Solyc01g009447.1.ITAG4.0	63.812	58.9956	49.932	75.7857	59.8494	68.0677	65.9476	74.1504	82.8978	86.1412	69.7977	87.8063	63.6119	72.3039	73.8478
Solyc01g009490.1.ITAG4.0	1.49764	0	1.37637	0.173758	0.581842	1.45452	1.49784	1.47444	1.07735	0	0.456177	0.761924	1.06401	0.487112	1.93908
Solyc01g009505.1.ITAG4.0	1.53139	0.697256	1.19119	0.534064	0.603982	1.44038	0.550114	0.0801595	1.10065	0.351679	0.0784739	0.699989	0.225267	0.515135	0.255558
Solyc01g009510.2.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g009530.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g009540.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.21287	0
Solyc01g009550.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g009565.1.ITAG4.0	0	0	0	0	0	0	0.384883	0	0.312268	0	0	0	0	0	0.0831171
Solyc01g009650.1.ITAG4.0	1.65987	10.8464	4.87655	14.4434	6.66908	3.37711	12.1912	9.59085	16.9833	8.26642	4.98423	7.81853	13.6575	9.3449	12.5797
Solyc01g009705.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g009710.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g009735.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g009790.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g009795.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g009880.2.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g009890.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g009910.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g009940.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g009975.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g009980.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g010060.2.ITAG4.0	23.6214	25.6231	29.8254	10.2486	12.5402	14.4098	6.2267	6.66575	5.63057	13.0322	10.9038	10.8159	9.11704	7.58306	18.0782
Solyc01g010063.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g010065.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g010067.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g010140.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0.0325923	0	0
Solyc01g010175.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g010185.1.ITAG4.0	52.6138	57.6891	54.5924	56.6685	64.3537	65.0861	41.9366	46.6408	47.0052	76.4728	75.4181	63.4253	65.4073	65.2592	64.7735
Solyc01g010210.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g010215.1.ITAG4.0	11.0263	12.7364	12.1069	11.9771	10.7209	18.2229	9.59224	13.2815	10.9165	12.9177	14.625	12.5662	14.0771	12.7538	12.633
Solyc01g010230.2.ITAG4.0	74.7033	89.3211	95.9872	86.3138	70.4673	79.1458	61.2128	53.7438	60.8614	50.3027	65.6751	72.6969	55.931	54.9275	69.4273
Solyc01g010365.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0.90714	0	0	0	0	0
Solyc01g010400.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g010405.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g010415.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g010470.2.ITAG4.0	0.29831	0.982983	0.270904	0.239234	0.226944	0	0	0.276532	0.941689	0.302305	0.80369	0.523249	0.958245	0.616131	0.813527
Solyc01g010530.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g010550.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g010590.2.ITAG4.0	13.998	14.4421	16.5372	15.299	14.8803	17.0466	16.9549	14.487	16.3416	15.3047	14.7574	17.3205	13.7813	13.2759	17.4988
Solyc01g010690.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g010705.1.ITAG4.0	0	0.0759173	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g010755.1.ITAG4.0	0	0.279815	0	0	0	0.0574325	0	0.351767	0	0.38501	0	0	0	0	0.21276
Solyc01g010785.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g010840.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g010990.2.ITAG4.0	3.57089	5.06027	5.77862	4.18305	4.50886	4.90069	4.97899	3.43047	5.58997	3.61768	4.65328	4.85618	3.0653	3.98873	3.80407
Solyc01g011005.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g011060.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g011070.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g011100.2.ITAG4.0	14.8036	15.553	16.5369	15.8483	17.9395	16.0795	15.469	14.1703	16.151	15.5987	15.5073	17.0536	16.0425	15.4079	14.6256
Solyc01g011105.1.ITAG4.0	0.245957	1.25967	0	0	0	0	0.24585	1.20957	0	0	0	1.75127	0	0	0.212205
Solyc01g011110.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g011113.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g011115.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g011117.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g011170.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g011180.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g011190.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g011260.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g011273.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g011277.1.ITAG4.0	0	0	0	0	0	0	0	0	0.0959554	0	0	0	0.077879	0.0841434	0
Solyc01g011300.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g011352.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g011354.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g011356.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g011358.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g011390.2.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g011413.1.ITAG4.0	0	0	0	0.103118	0	0	0	0	0	0	0	0	0	0	0
Solyc01g011417.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g011435.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g011465.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g011470.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g011480.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g011490.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g011495.1.ITAG4.0	0	0	0.204509	0	0.591196	0	0	0	0.475797	0	0.202424	0	0	0	0.0950505
Solyc01g011500.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g011530.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g011540.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g012540.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g012550.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g012560.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g012580.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g012585.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g012590.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g012610.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g012650.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g012680.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g012690.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g012720.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g012730.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g012740.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g012760.1.ITAG4.0	0.12632	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g013760.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g013780.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g013790.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g013810.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g013820.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g013840.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g013850.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g013860.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g013870.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g013880.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g013883.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g013887.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g013910.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g013920.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g013930.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g013970.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g013975.1.ITAG4.0	0	0	0	0	0.24255	0	0	0	0	0	0.0712769	0	0	0	0
Solyc01g013980.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g013985.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g013990.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g014000.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g014010.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g014020.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g014050.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g014055.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g014070.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g014090.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g014105.1.ITAG4.0	7.07592	6.3261	7.0907	6.1477	6.15558	5.82272	5.80707	6.20413	6.74144	6.02099	6.66008	8.28488	5.94773	6.88102	8.47623
Solyc01g014150.1.ITAG4.0	0	0	0	0	0	0.202515	0.112741	0	0	0	0	0	0	0	0
Solyc01g014160.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g014170.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g014210.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g014240.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g014250.2.ITAG4.0	2.54719	1.81226	4.22874	5.15142	4.39639	1.68198	2.94852	2.28724	3.18492	0.776223	1.89212	3.02198	2.30155	1.9877	1.78404
Solyc01g014260.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g014275.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g014300.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g014315.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g014350.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g014355.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g014360.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g014363.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g014367.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g014373.1.ITAG4.0	4.29013	3.25542	5.05062	4.1576	5.86399	5.40776	3.16769	3.67456	3.4896	3.53626	2.2248	2.9583	1.47624	2.39961	3.20502
Solyc01g014377.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g014410.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g014420.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g014430.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g014450.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g014470.1.ITAG4.0	0	0	0	0	0	0.210703	0	0	0	0	0.463327	0	0.216011	0	0
Solyc01g014520.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g014530.2.ITAG4.0	0	0	0.116434	0	0.32207	0.231839	0	0	0	0	0	0	0.109918	0.351547	0
Solyc01g014533.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g014620.1.ITAG4.0	3.85185	4.7738	2.61012	1.47204	2.99006	0.572031	1.77562	2.46622	3.0665	1.55924	4.2389	3.59142	1.49645	1.39032	1.52741
Solyc01g014640.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g014650.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g014660.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g014680.1.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solyc01g014690.2.ITAG4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
